# LSST Y10 lens curves; original Fisher._makeLensPZ convention
# Reference: https://arxiv.org/abs/2507.01374 Figure 3
# Source: fisherA2Z/data/nzdist.txt, dneff column
# Original 40-point parent integration; dense Gaussian evaluation and normalization
# Raw n_i(z), NOT unit-integral PDFs and NOT galaxies/arcmin^2/z
# Z_MID	BIN1	BIN2	BIN3	BIN4	BIN5	BIN6	BIN7	BIN8	BIN9	BIN10
1.030000000000e-01	1.431958355704e-03	4.815731850902e-08	1.004548958045e-13	5.633857224765e-20	1.906425126215e-26	5.905723481032e-33	1.920738724782e-39	1.315683205233e-45	1.156361358498e-51	1.962112594744e-57
1.040000000000e-01	1.589184139423e-03	5.596660031529e-08	1.206416001092e-13	6.926067476607e-20	2.382780998042e-26	7.466898996764e-33	2.447483424793e-39	1.684902951833e-45	1.485165455052e-51	2.523303940265e-57
1.050000000000e-01	1.762419236423e-03	6.500260824351e-08	1.448083342343e-13	8.510728705629e-20	2.976948063459e-26	9.437346001165e-33	3.117670638288e-39	2.157106304637e-45	1.906958680368e-51	3.244223865627e-57
1.060000000000e-01	1.953149087963e-03	7.545149796822e-08	1.737242776617e-13	1.045311966980e-19	3.717758222127e-26	1.192344936735e-32	3.970084159385e-39	2.760840403186e-45	2.447895660979e-51	4.170111548258e-57
1.070000000000e-01	2.162981148190e-03	8.752662375187e-08	2.083041676408e-13	1.283288329698e-19	4.641023662264e-26	1.505900850655e-32	5.053918105611e-39	3.532516121759e-45	3.141446715588e-51	5.358955346756e-57
1.080000000000e-01	2.393653272275e-03	1.014723487339e-07	2.496352392045e-13	1.574714092813e-19	5.791208187361e-26	1.901223957549e-32	6.431550648877e-39	4.518560483874e-45	4.030432652121e-51	6.885067667512e-57
1.090000000000e-01	2.647042520846e-03	1.175683643337e-07	2.990090352436e-13	1.931427143781e-19	7.223494186017e-26	2.399455006946e-32	8.182051234414e-39	5.778154421031e-45	5.169622311254e-51	8.843657120417e-57
1.100000000000e-01	2.925174385891e-03	1.361345831968e-07	3.579589452111e-13	2.367849492632e-19	9.006337812193e-26	3.027153029221e-32	1.040561376966e-38	7.386714015500e-45	6.629047594282e-51	1.135667474635e-56
1.110000000000e-01	3.230232441683e-03	1.575366777623e-07	4.283044783834e-13	2.901542954242e-19	1.122462634113e-25	3.817671661519e-32	1.322915838294e-38	9.440315806401e-45	8.498233012967e-51	1.458028751535e-56
1.120000000000e-01	3.564568422403e-03	1.821923450157e-07	5.122034495225e-13	3.553882472186e-19	1.398357794920e-25	4.812881902827e-32	1.681340741581e-38	1.206132049010e-44	1.089159059350e-50	1.871442969686e-56
1.130000000000e-01	3.930712726105e-03	2.105783874041e-07	6.122134552406e-13	4.350871588224e-19	1.741355643543e-25	6.065327685687e-32	2.136182063969e-38	1.540551740449e-44	1.395529936087e-50	2.401500682419e-56
1.140000000000e-01	4.331385342381e-03	2.432387103134e-07	7.313642529502e-13	5.324129579824e-19	2.167601300379e-25	7.640921989255e-32	2.713187443747e-38	1.967119833381e-44	1.787607556224e-50	3.080948510577e-56
